wtrplay_plc_nm,ctprvn_nm,sgg_nm,emd_nm,detail_plcnm,adres,wtrplay_plc_type,wtrplay_sec,wtrplay_deep,wtrplay_deep_avg,year_visitor,acdt_co,x,y,manage_type,manage_at
관악산계곡어린이물놀이장,서울시,관악구,신림로,신림계곡지구,서울시 관악구 신림동 808-125,계곡,150,1,0.6,11,0,14131845.97,4503708.725,일반지역,2
장산계곡,부산광역시,해운대구,우동,장산계곡,부산광역시 해운대구 우동 산2,계곡,null,1.5,1,250,1,14378152.95,4189344.087,중점관리지역,1
장안사 계곡,부산광역시,기장군,장안읍,장안사,부산광역시 기장군 장안읍 장안리 664-21,계곡,150,1.5,1,100,0,14385251.64,4214446.418,일반지역,2
용소천 계곡,부산광역시,기장군,장안읍,용소천,부산광역시 기장군 장안읍 반룡리 786-21,계곡,90,2,2,1,0,14388739.58,4209991.05,중점관리지역,1
대운산계곡,울산광역시,울주군,온양읍,애기소,울산광역시 울주군 온양읍 운화리 1403,계곡,500,4,1,3,1,14387223.57,4217359.284,일반지역,2
철구소계곡,울산광역시,울주군,상북면,철구소,울산광역시 울주군 상북면 이천리 산 86-1,계곡,20,5,2,12,1,14361267.13,4238531.767,중점관리지역,1
가평천,경기도,가평군,북면,밤나무계곡오토캠핑장,경기도 가평군 북면 도대리 408,계곡,200,2,1,0.921,1,14189983.68,4574052.102,일반지역,2
가평천,경기도,가평군,북면,용소유원지,경기도 가평군 북면 도대리 269-5,계곡,40,2,2,1.39,0,14191841.37,4570724.909,일반지역,2
가평천,경기도,가평군,북면,호수유원지민박,경기도 가평군 북면 도대리 198,계곡,70,2,1,3.71,0,14192346.76,4569077.081,일반지역,2
가평천,경기도,가평군,북면,도대리 용소폭포,경기도 가평군 북면 도대리 산 331,계곡,110,3,2,17,2,14190173.96,4573074.851,중점관리지역,1
가평천,경기도,가평군,북면,백둔교,경기도 가평군 북면 백둔리 1115,계곡,100,3,2,2.04,0,14193534.85,4565195.825,일반지역,2
가평천,경기도,가평군,북면,다리유원지앞,경기도 가평군 북면 도대리 산 303,계곡,70,2,1,1.37,0,14192519.09,4569290.381,일반지역,2
승안천,경기도,가평군,가평읍,공무원휴양소주차장앞,경기도 가평군 가평읍 승안리 산 60-1,계곡,30,2,1,0,1,14190412.19,4559518.676,중점관리지역,1
승안천,경기도,가평군,가평읍,계곡여행펜션,경기도 가평군 가평읍 승안리 628,계곡,50,2,1.5,0,1,14190057.12,4559670.374,중점관리지역,1
영평천,경기도,포천시,이동면,백운계곡,경기도 포천시 이동면 도평리 36 일대,계곡,3000,3,2,3,2,14183173.74,4589605.122,일반지역,2
상촌계곡,경기도,양평군,강상면,상촌,경기도 양평군 강상면 백석길226-2,계곡,300,1,0.5,0.2,0,14188348.86,4499883.12,일반지역,2
돌고개 마을,경기도,양평군,단월면,돌고개마을,경기도 양평군 단월면 한서로1357,계곡,100,2,1,3,0,14206893.59,4528752.523,일반지역,2
물레울 마을,경기도,양평군,단월면,물레울마을,경기도 양평군 단월면 석산로1405,계곡,100,2,1.5,3,0,14204780.26,4528878.048,일반지역,2
벽계천,경기도,양평군,서종면,노문계곡,경기도 양평군 서종면 화서1로268-21,계곡,300,2,1,5,0,14185572.95,4528492.594,일반지역,2
수능계곡,경기도,양평군,서종면,낙촌,경기도 양평군 서종면 황순원로112,계곡,300,2,1,5,0,14179747.59,4522638.088,일반지역,2
사나사 계곡,경기도,양평군,옥천면,절골마을,경기도 양평군 옥천면 사나사길 224,계곡,300,1,0.5,1,0,14193469.3,4513369.966,일반지역,2
동막리유원지,경기도,연천군,연천읍,동막리자라바위,경기도 연천군 연천읍 동막리 181-2,계곡,300,2,1,4,1,14149956.47,4593797.031,일반지역,2
내산리,경기도,연천군,신서면,내산리(시원농장),경기도 연천군 신서면 내산리 313,계곡,2500.0,4,2,4,0,14152477.18,4597895.158,일반지역,2
탁사정,충청북도,제천시,봉양읍,탁사정,충청북도 제천시 봉양읍 제원로 483,계곡,100,5,1,3,0,14260545.95,4462413.169,일반지역,2
덕동계곡,충청북도,제천시,백운면,덕동계곡,충청북도 제천시 백운면 덕동로 38,계곡,50,2,1,9,1,14247666.17,4465465.14,일반지역,2
자라바위,충청북도,제천시,백운면,자라바위,충청북도 제천시 백운면 평동로5길26,계곡,100,2,1,1,0,14250716.8,4458575.688,일반지역,2
서원계곡,충청북도,보은군,장안면,"서원리표시석, 황해동솔밭, 정부인소나무",충청북도 보은군 장안면 서원리 386,계곡,150,2,1,10,0,14228039.21,4367291.813,일반지역,2
용추폭포,충청북도,괴산군,청천면,용추폭포,충청북도 괴산군 청천면 후영리 6-1,계곡,300,3,2,30,3,14228650.67,4398259.518,중점관리지역,1
화양1교,충청북도,괴산군,청천면,화양1교,충청북도 괴산군 청천면 화양리 472,계곡,700,2,1,30,3,14227097.3,4394425.497,중점관리지역,1
외계수계곡,충청북도,음성군,생극면,차곡리 오얏골,충청북도 음성군 생극면 차곡리 611-1,계곡,10,2,1,0,0,14208189.75,4446067.849,중점관리지역,1
남천계곡,충청북도,단양군,영춘면,남천솔밭공원앞,충청북도 단양군 영춘면 남천리 483-1,계곡,70,1.5,1,2,0,14304951.57,4446821.87,일반지역,2
소선암,충청북도,단양군,단성면,소선암휴양지,충청북도 단양군 단성면 대잠리 356,계곡,50,2,1,1,0,14283009.85,4427860.046,일반지역,2
사동유원지,충청북도,단양군,대강면,사동유원지,충청북도 단양군 대강면 사동리 62-4,계곡,30,0.5,0.5,0,0,14295036.23,4417965.166,일반지역,2
상월골,충청남도,공주시,사곡면,상월곡 계곡,충청남도 공주시 사곡면 운암리 651-3,계곡,1000.0,2,1,10,0,14137313.02,4379078.318,일반지역,2
노동리사방댐,충청남도,공주시,유구읍,노동리사방댐,충청남도 공주시 유구읍 노동리 85-1,계곡,50,4,1,0,0,14128298.97,4376753.145,중점관리지역,1
봉갑리사방댐,충청남도,공주시,신풍면,봉갑리사방댐,충청남도 공주시 신풍면 봉갑리 322,계곡,50,4,1,0,0,14126542.32,4371590.566,중점관리지역,1
상원골,충청남도,공주시,유구읍,상원골일원,충청남도 공주시 유구읍 구계리 1-20,계곡,200,2,1,5,0,14137077.41,4379019.494,중점관리지역,1
산내계곡,전라북도,남원시,산내면,산간계곡,전라북도 남원시 산내면 입석리 726,계곡,130,2,1,3,0,14206545.49,4219665.86,중점관리지역,1
산내계곡,전라북도,남원시,산내면,산간계곡,전라북도 남원시 산내면 장항리 324-1,계곡,130,2,1,3,0,14206415.19,4219447.438,중점관리지역,1
산내계곡,전라북도,남원시,산내면,산간계곡,전라북도 남원시 산내면 내령리 90-2,계곡,170,2,1,3,1,14205240.16,4218424.732,중점관리지역,1
산내계곡,전라북도,남원시,산내면,산간계곡,전라북도 남원시 산내면 내령리 414-3,계곡,100,2,2,3,0,14204362.1,4218264.854,중점관리지역,1
산내계곡,전라북도,남원시,산내면,산간계곡,전라북도 남원시 산내면 백일리 122,계곡,160,1,1,3,0,14209293.36,4220030.706,중점관리지역,1
요천,전라북도,남원시,산동면,계곡,전라북도 남원시 산동면 대상리 715-2,계곡,50,3,2,0,1,14190855.14,4235193.555,중점관리지역,1
옥계동,전라북도,완주군,운주면,옥계동,전라북도 완주군 운주면 대둔산로1750,계곡,200,2,1,5,1,14172628.75,4313869.502,중점관리지역,1
구천동지구,전라북도,무주군,설천면,세심대,전라북도 무주군 설천면 심곡리 산53-2,계곡,50,2,1,2.5,1,14222531.3,4287564.018,중점관리지역,1
통안지구,전라북도,무주군,안성면,용추폭포,전라북도 무주군 안성면 공정리 1223-5변,계곡,40,4,2,0.7,0,14213532.67,4278961.189,일반지역,2
덕산계곡,전라북도,장수군,장수읍,용쏘주변,전라북도 장수군 장수읍 덕산리 산 54-3,계곡,null,4,1,1,0,14197758.25,4246766.272,중점관리지역,1
방화동계곡,전라북도,장수군,번암면,방화동,전라북도 장수군 번암면 사암리 686-1,계곡,null,3,2,27,0,14196752.64,4245587.902,중점관리지역,1
토옥동계곡,전라북도,장수군,계북면,토옥동,전라북도 장수군 계북면 양악리 889,계곡,null,4,2,10,0,14209475.8,4273590.252,중점관리지역,1
와룡리계곡,전라북도,장수군,천천면,와룡계곡,전라북도 장수군 천천면 비룡리 636,계곡,null,3,1,23,0,14191784.63,4257850.717,중점관리지역,1
문수계곡,전라북도,고창군,고수면,문수계곡,전라북도 고창군 고수면 은사리 962,계곡,230,2,1,1,0,14105930.93,4216356.215,일반지역,2
청소골남생이소,전라남도,순천시,서면,남생이소,전라남도 순천시 서면 청소리 172-1,계곡,20,1,1,1,0,14193520.92,4173131.751,일반지역,2
서면황토초가앞,전라남도,순천시,서면,만추산장,전라남도 순천시 서면 판교리 918-1,계곡,60,2,2,2,0,14193298.79,4168476.316,일반지역,2
서면구상계곡1,전라남도,순천시,서면,구랑실계곡,전라남도 순천시 서면 구상리 산23,계곡,20,2,1,2,0,14198486.91,4167536.709,일반지역,2
서면구상계곡2,전라남도,순천시,서면,성광수목원,전라남도 순천시 서면  구상리 828,계곡,20,2,2,2,0,14198936.3,4165526.763,일반지역,2
장천재계곡,전라남도,장흥,관산,장천재계곡,전라남도 장흥군 관산읍 용전리 산147-13,계곡,35,1,1,1,1,14128094.24,4101355.403,일반지역,2
용둠벙계곡,전라남도,장흥,대덕,용둠벙계곡,전라남도 장흥군 대덕읍 연지리 산71-1,계곡,18,1.3,1,1,0,14126668.31,4097861.186,일반지역,2
봉덕계곡,전라남도,장흥,유치,봉덕계곡,전라남도 장흥군 유치면 봉덕리 514,계곡,80,1.2,1,1,0,14125398.53,4138567.299,일반지역,2
초당림,전라남도,강진군,칠량면,초당림,전라남도 강진군 칠량면 명주리 275-1,계곡,100,1,1,18,0,14122185.66,4105388.954,일반지역,2
보은산V-랜드,전라남도,강진군,강진읍,V-랜드,전라남도 강진군 강진읍  남성리 342,계곡,150,1,0.9,28,0,14111137.69,4116735.158,일반지역,2
석문공원,전라남도,강진군,도암면,석문공원,전라남도 강진군 도암면 석문리 산252,계곡,65,1,0.9,16,0,14106668.47,4104550.556,일반지역,2
월출산기찬랜드,전라남도,영암군,영암읍,회의촌마을,전라남도 영암군 영암읍 기찬랜드로 41-13,계곡,500,1,1,1,0,14102576.99,4135496.958,일반지역,2
뱅뱅이골기찬랜드,전라남도,영암군,금정면,뱅뱅이골,전라남도 영암군 금정면 연소리 626,계곡,500,1,1,1,0,14112646.25,4139578.314,일반지역,2
남창계곡,전라남도,장성군,북하면,형제농원 앞,전라남도 장성군 북하면 신성리 464,계곡,500,1,1,8,0,14119826.77,4226691.662,일반지역,2
동창천(3),경상북도,경주시,산내면,그린하우스앞,경상북도 경주시 산내면 대현리 494-1,계곡,100,2,1,5,0,14367487.3,4262634.088,중점관리지역,1
동창천(4),경상북도,경주시,산내면,태종계곡,경상북도 경주시 산내면 대현리 109,계곡,100,2,1,4,0,14368873.35,4259540.788,중점관리지역,1
용담계곡1,경상북도,안동시,길안면,용담계곡1,경상북도 안동시 길안면 금곡리 산162,계곡,30,1,1,2,0,14350272.5,4353219.894,중점관리지역,1
