농월정,고도(농월정),농월정_1,깊이(농월정),농월정_2,경사도(농월정),옥계리,고도(옥계리),옥계리_1,깊이(옥계리),옥계리_2,경사도(옥계리),용추,고도(용추),용추_1,깊이(용추),용추_2,경사도(용추),신선계곡,고도(신선계곡),신선계곡_1,깊이(신선계곡),신선계곡_2,경사도(신선계곡),하옥계곡,고도(하옥계곡),하옥계곡_1,깊이(하옥계곡),하옥계곡_2,경사도(하옥계곡),요강소,고도(요강소),요강소_1,깊이(요강소),요강소_2,경사도(요강소),용소폭포,고도(용소폭포),용소폭포_1,깊이(용소폭포),용소폭포_2,경사도(용소폭포)
0,242.6016693,0,196.5372009,0,12.53639984,0,168.8997803,0,89.37930298,0,2.134299994,0,216.4045715,0,78.72429657,0,17.38730049,0,179.3668365,0,156.3890991,0,8.582500458,0,196.3262634,0,97.01799774,0,27.17740059,0,388.5074768,0,252.2702026,0,5.550700188,0,244.6121368,0,171.6994019,0,8.735699654
131.5418811,254.958313,43.84729369,119.1573029,43.84729369,21.61160088,58.35848663,168.8997803,58.35848663,122.0766983,58.35848663,10.75959969,37.71281445,210.6255798,37.71281445,87.58789825,37.71281445,23.27330017,29.27875158,163.6894684,29.27875158,169.4210052,29.27875158,0.95480001,57.98904329,200.6466522,57.98904329,104.9819031,57.98904329,7.652999878,27.93364488,388.5074768,27.93364488,166.447403,27.93364488,7.416500092,87.99785173,245.4509277,43.99892587,232.9636993,43.99892587,10.04679966
202.1900371,235.6459198,87.69458738,61.19039917,87.69458738,16.60149956,103.7153076,194.9196777,103.7153076,127.3016968,103.7153076,8.159000397,105.5889659,235.1926727,105.5889659,120.0753021,105.5889659,6.017300129,73.90868313,163.6894684,73.90868313,122.7331009,73.90868313,3.01699996,111.5082561,194.2679749,111.5082561,131.5984039,111.5082561,3.01699996,93.26937696,392.0728149,60.60151092,166.8686066,60.60151092,8.049500465,142.9590476,237.9571228,87.99785173,299.7609863,87.99785173,6.091499805
281.4209899,235.4002686,131.5418811,128.3292999,131.5418811,19.51119995,143.6820409,194.9196777,143.6820409,138.6275024,143.6820409,6.721399784,124.6795851,222.7055817,124.6795851,137.7731018,124.6795851,6.721399784,108.2527798,173.5195313,108.2527798,123.6307983,108.2527798,1.350200057,148.9389882,194.2679749,148.9389882,114.6043015,148.9389882,6.379399776,204.4747002,379.8351746,93.26937696,158.7928009,93.26937696,6.654399872,212.5525223,245.8642578,142.9590476,393.3635864,142.9590476,11.30990028
332.3963911,235.4002686,166.8659591,151.217804,166.8659591,15.1796999,174.4817305,194.9196777,174.4817305,134.9272003,174.4817305,8.935600281,192.1591931,196.3066864,158.4193891,158.7776031,158.4193891,6.721399784,252.9113884,171.7073059,144.4174319,106.594902,144.4174319,0.95480001,206.9113886,194.5288086,206.9113886,164.7834015,206.9113886,3.01699996,242.1822468,379.8351746,130.337818,176.1604004,130.337818,4.857500076,228.6863474,245.8642578,177.755785,442.1783142,177.755785,2.862400055
408.9482325,240.117218,202.1900371,243.1613007,202.1900371,5.788799763,221.342871,208.3494263,221.342871,139.9432983,221.342871,0.95480001,273.6250938,195.1899109,192.1591931,179.0278015,192.1591931,4.857500076,300.0732322,171.7073059,180.5820841,91.82170105,180.5820841,2.698999882,279.3686893,194.7675171,243.1400389,151.5146942,243.1400389,0.95480001,275.3623597,376.8542175,167.4062591,167.5133972,167.4062591,1.909199953,271.7657752,246.0818176,212.5525223,456.3377075,212.5525223,2.862400055
495.9847785,229.4123383,241.8055135,307.2023926,241.8055135,0.95480001,285.35857,208.3494263,285.35857,140.665802,285.35857,3.438899994,314.4773053,190.1536102,232.8921434,189.6838074,232.8921434,3.814100027,341.3954723,180.5934448,216.7467362,70.45610046,216.7467362,8.935600281,321.7493935,191.6334991,279.3686893,164.8482971,279.3686893,0,319.2455877,376.8542175,204.4747002,163.8661041,204.4747002,0,291.9272476,246.0818176,228.6863474,494.0263062,228.6863474,2.862400055
575.2157314,229.4123383,281.4209899,279.8417053,281.4209899,0,310.7689154,166.1515808,310.7689154,140.665802,310.7689154,3.438899994,362.6831246,190.1536102,273.6250938,192.1822052,273.6250938,0.95480001,381.5878986,180.5934448,252.9113884,64.65409851,252.9113884,15.28849983,356.9114769,191.6334991,321.7493935,141.6582031,321.7493935,2.862400055,368.5242351,376.6499939,242.1822468,163.6125946,242.1822468,0,307.321318,237.837265,271.7657752,476.260498,271.7657752,0
693.2536312,228.0330658,332.3963911,154.9734955,332.3963911,21.4720993,333.8340804,162.0852509,333.8340804,160.2093048,333.8340804,3.01699996,424.7935493,206.5070953,314.4773053,181.5500031,314.4773053,0.95480001,396.7334265,180.5934448,300.0732322,77.45449829,300.0732322,6.654399872,455.6008096,190.2979126,356.9114769,168.6835022,356.9114769,0,399.6096982,376.6499939,275.3623597,152.8975983,275.3623597,1.909199953,368.5312728,237.3521118,291.9272476,476.260498,291.9272476,0
814.9991799,222.7485199,370.6723118,119.2198029,370.6723118,24.38870049,363.7616109,162.0852509,363.7616109,159.2765961,363.7616109,0.95480001,458.446296,206.5070953,362.6831246,138.0045013,362.6831246,4.857500076,420.6915787,160.8031158,341.3954723,77.40000153,341.3954723,10.75959969,472.7199178,190.2979126,389.8079212,172.9989929,389.8079212,0,426.2652629,376.6499939,319.2455877,138.9490051,319.2455877,0,477.3378656,233.5097504,307.321318,424.6023865,307.321318,5.710599899
